Title,Price,Property Type,Bedrooms,Bathrooms,Area,Location
"Apartment for Sale in Al Rimal, East Riyadh","849,000",Apartment,3,3,137 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Tawn House Ground Opportunity Planned Branches,"950,000",Villa,3,5,244 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
For sale a villa with an internal staircase and a separate entrance,"1,950,000",Villa,4,7,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
Upper townhouse for sale in Ghosoun layout,"930,000",Apartment,3,4,186 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Apartment for sale in Al Nasim Al Sharqi, east of Riyadh","750,000",Apartment,3,3,149 Sq. M.,"Al Nasim Al Sharqi, East Riyadh, Riyadh"
"Floor for sale in Shubra, west of Riyadh","800,000",Floor,3,3,500 Sq. M.,"Shubra, West Riyadh, Riyadh"
"Apartment for Sale in Dirab, West Riyadh","500,000",Apartment,3,3,173 Sq. M.,"Dirab, West Riyadh, Riyadh"
Dor - Riyadh - Al Nudwah district,"650,000",Floor,5,3,142 Sq. M.,"Al Nadwa District, East Riyadh, Riyadh"
Durr - Riyadh - Nadwa neighborhood,"850,000",Floor,5,3,169 Sq. M.,"Al Nadwa District, East Riyadh, Riyadh"
"Villa for sale in Al-Munsiyah, Riyadh","4,000,000",Villa,6,5,595 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Villa For Sale in Al Andalus, Riyadh","2,800,000",Villa,4,4,468 Sq. M.,"Al Andalus, East Riyadh, Riyadh"
"5 Bedrooms Apartment For Sale in Al Yarmouk, Riyadh","1,500,000",Apartment,5,2,219 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"7 Bedroom Villa For Sale in Al Yarmouk, Riyadh","2,100,000",Villa,7,2,319 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"5 Bedroom Villa For Sale in Al Yasmeen, Riyadh","4,000,000",Villa,5,8,415 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"4 Bedrooms Floor For Sale in Al Nahda, Riyadh","1,000,000",Floor,3,4,184 Sq. M.,"Al Nahdah, East Riyadh, Riyadh"
"5 Bedroom Villa For Sale in Al Farouq, Riyadh","1,800,000",Villa,4,4,200 Sq. M.,"Al Faruq, Central Riyadh, Riyadh"
"Apartment for sale on Abdullah Al-Muwis Street, Al-Rimal District, Riyadh","900,000",Apartment,5,4,172 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Building in East Riyadh，Al Munsiyah 4 bedrooms 12500000 SAR - 87616494,"12,500,000",Building,4,3,725 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Villa for sale in Granada district,"3,850,000",Villa,6,4,625 Sq. M.,"Ghirnatah, East Riyadh, Riyadh"
"Ground floor for sale in Al-Suwaidi neighborhood, Riyadh, close to Al-Balad Al-Ameen Street.","650,000",Floor,4,2,117 Sq. M.,"Al Suwaidi, West Riyadh, Riyadh"
"Villa for sale in Al-Mahdiyah, Riyadh","8,000,000",Villa,11,11,900 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Villa for sale in Al Munsiyah, Riyadh","2,900,000",Villa,9,9,300 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Apartment for sale in Rafiah, Riyadh","950,000",Apartment,3,3,122 Sq. M.,"Al Rafiah, West Riyadh, Riyadh"
"Apartment for sale in Dhahrat Laban, Riyadh","700,000",Apartment,2,2,133 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Villa for sale in Rawdah, Riyadh","7,500,000",Villa,7,5,930 Sq. M.,"Al Rawdah, East Riyadh, Riyadh"
"Villa for sale in Narjes, Riyadh","4,000,000",Villa,6,4,364 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Apartment for sale in Al Naseem East Riyadh,"600,000",Apartment,2,2,124 Sq. M.,"Al Nasim Al Sharqi, East Riyadh, Riyadh"
Villa in King Salman neighborhood,"3,800,000",Villa,6,6,418 Sq. M.,"King Salman, Riyadh"
"Villa For Sale in Al Manar, East Riyadh","3,500,000",Villa,5,3,300 Sq. M.,"Al Manar, East Riyadh, Riyadh"
"Floor for sale in Al Qadisiyah, east of Riyadh","900,000",Floor,4,5,220 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Luxurious apartment for sale in Al Rimal, East Riyadh","669,000",Apartment,3,3,127 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Villa - Riyadh - Al Janaderiya,"1,350,000",Villa,5,5,221 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Circle - Riyadh - Al Ramal,"1,650,000",Floor,6,4,230 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for sale in Al Narjis, north Riyadh","3,200,000",Villa,5,1,263 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Villa for sale in Al Narjis, north Riyadh","4,400,000",Villa,6,5,312 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Building for sale in Al Ramal neighborhood, Riyadh","12,000,000",Building,N/A,N/A,924 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Villa - Riyadh - Al Awali neighborhood,"1,100,000",Villa,5,6,225 Sq. M.,"Alawali, West Riyadh, Riyadh"
"Villa for sale in Al Janadriyah, east Riyadh","1,150,000",Villa,5,4,315 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in  Al Nahdah, East Riyadh","2,400,000",Villa,4,4,484 Sq. M.,"Al Nahdah, East Riyadh, Riyadh"
"Apartment for sale in Al Wadi, Riyadh","1,850,000",Apartment,3,3,153 Sq. M.,"Al Wadi, North Riyadh, Riyadh"
"4 Bedrooms Apartment For Sale in Al Narjes, Riyadh","1,127,500",Apartment,4,1,139 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"2 Bedroom Apartment For Sale in Al-Munsiyah, Riyadh","706,000",Apartment,2,1,"9,100 Sq. M.","Al Munsiyah, East Riyadh, Riyadh"
New upper floor for sale in Al Janaderiya district,"750,000",Floor,3,2,208 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for Sale in Al Aziziyah, South Riyadh","1,000,000",Villa,5,5,312 Sq. M.,"Al Aziziyah, South Riyadh, Riyadh"
"Villa for Sale in King Abduallah, North Riyadh","3,500,000",Villa,4,5,300 Sq. M.,"King Abduallah, North Riyadh, Riyadh"
"Sale in Al Hazm, Riyadh","666,080",Apartment,4,3,"2,450 Sq. M.","Al Hazm, West Riyadh, Riyadh"
For Sale Riyadh,"1,440,000",Villa,5,3,300 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
For sale a two-story villa with an annex in Tuwaiq neighborhood,"1,300,000",Villa,11,7,250 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Luxury apartment for rent in Azdan Alyasmin project,"2,300,000",Floor,3,4,186 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Ground Floor for Sale in Al Munsiyah, East Riyadh","1,350,000",Floor,3,3,141 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Floor for sale in Al Qadisiyah, East Riyadh","1,250,000",Villa,3,4,188 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Villa for sale in Al Saadah, East Riyadh","3,200,000",Villa,9,7,455 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
"Apartment for Sale in Al Hazm, West Riyadh","530,000",Apartment,3,3,135 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
"Apartment for sale in Al Arid, North Riyadh","880,000",Apartment,2,3,"3,150 Sq. M.","Al Arid, North Riyadh, Riyadh"
"5 Bedroom Apartment For Sale in Ar Rawdah, Riyadh","1,300,000",Apartment,5,1,492 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Apartment in East Riyadh，Qurtubah 4 bedrooms 1450000 SAR - 87621960,"1,450,000",Apartment,4,4,156 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Townhouse Apartment - Riyadh - Al Ramal District,"1,200,000",Apartment,5,5,188 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for Sale in Al Rimal, East Riyadh","2,100,000",Villa,7,5,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Townhouse Apartment for Sale in Badr, South Riyadh","770,000",Apartment,4,3,630 Sq. M.,"Badr, South Riyadh, Riyadh"
"Floor for sale in Okaz, South Riyadh","650,000",Floor,3,3,131 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Apartment for sale in Badr, south of Riyadh","800,000",Apartment,4,4,630 Sq. M.,"Badr, South Riyadh, Riyadh"
"Floor for sale in Al Munsiyah, east Riyadh","1,400,000",Floor,3,5,621 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Villa for sale in Al Arid, North Riyadh","4,000,000",Villa,4,5,324 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Duplex Villa for Sale in Al Rimal, East Riyadh","2,100,000",Villa,5,6,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"For Sale Apartment in Al Rimal, East Riyadh","700,000",Apartment,3,4,118 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Ground Floor for Sale in Al Rimal, East Riyadh","1,000,000",Floor,3,4,168 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Duplex Villa for Sale in Al Rimal, East Riyadh","2,100,000",Villa,5,6,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Apartment for Sale in Al Bayan Neighborhood, East Riyadh","600,000",Apartment,3,4,538 Sq. M.,"Al Bayan Neighborhood, East Riyadh, Riyadh"
"Upper Floor for Sale in Al Rimal, East Riyadh","880,000",Floor,4,3,146 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Upper Floor for Sale in Al Munsiyah, East Riyadh","1,350,000",Floor,4,3,621 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"For Sale Duplex Villa in Al Rimal, East Riyadh","1,750,000",Villa,5,5,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Apartment for sale on Al-Fajr Street, Jasmine Neighborhood, Riyadh City, Riyadh Region","1,350,000",Apartment,3,2,"6,299 Sq. M.","Al Yasmin, North Riyadh, Riyadh"
Townhouse apartment - Riyadh - Al-Suwaidi,"1,050,000",Apartment,6,4,143 Sq. M.,"Al Suwaidi, West Riyadh, Riyadh"
"Floor for Sale in Okaz, South Riyadh","630,000",Floor,3,3,184 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Floors for sale, each floor with a legal document, in Badr neighborhood","700,000",Floor,3,3,151 Sq. M.,"Badr, South Riyadh, Riyadh"
Apartment in East Riyadh，Qurtubah 5 bedrooms 1450000 SAR - 87621627,"1,450,000",Apartment,5,4,156 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Apartment in East Riyadh，Qurtubah 6 bedrooms 1450000 SAR - 87621604,"1,450,000",Apartment,6,4,156 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Townhouse Apartment for Sale in Badr, South Riyadh","770,000",Apartment,3,5,630 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartment for Sale in Okaz, South Riyadh","530,000",Apartment,3,3,163 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Apartment for Sale in Badr, South Riyadh","450,000",Apartment,4,3,151 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartment for sale in Badr, South Riyadh","430,000",Apartment,3,3,131 Sq. M.,"Badr, South Riyadh, Riyadh"
"Luxury villa for sale in Al Qirawan neighborhood, north of Riyadh, Riyadh","6,000,000",Villa,6,6,480 Sq. M.,"Al Qirawan, North Riyadh, Riyadh"
4 Bedrooms Apartment For Sale Riyadh,"16,000,000",Villa,4,7,917 Sq. M.,"King Salman, Riyadh"
"Floor for sale in Al Khaleej, East Riyadh","1,550,000",Floor,4,4,251 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"Floor for Sale in Al Munsiyah, East Riyadh","1,350,000",Floor,3,4,141 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Floor for sale in Al Khaleej, Riyadh","13,000,000",Floor,5,3,600 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"Villa for sale in Al Yasmin, North Riyadh","4,200,000",Villa,6,5,385 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"Villa for sale in Al Narjis, North Riyadh","4,400,000",Villa,6,6,900 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartments for sale in  Badr, South Riyadh","520,000",Residential Building,3,3,900 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartments for sale in Alhazm, West Riyadh","530,000",Apartment,3,3,135 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
"Villa for sale in Badr, south of Riyadh","550,000",Floor,7,6,450 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartment for sale in Tawiq, west Riyadh","470,000",Apartment,3,2,114 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"Floor for Sale in Al Aziziyah, South Riyadh","780,000",Floor,4,3,227 Sq. M.,"Al Aziziyah, South Riyadh, Riyadh"
Apartment in East Riyadh，Al Janadriyah 4 bedrooms 980000 SAR - 87621075,"980,000",Apartment,4,3,251 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Circle - Riyadh - Tuwaiq,"1,150,000",Floor,5,2,302 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Villa - Riyadh - Rawdah neighborhood,"7,500,000",Villa,12,8,930 Sq. M.,"Al Rawdah, East Riyadh, Riyadh"
Apartment - Riyadh - Dhahrat Laban neighborhood,"850,000",Apartment,5,4,110 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"For Sale Apartments in Alawali, West Riyadh","550,000",Apartment,3,3,140 Sq. M.,"Alawali, West Riyadh, Riyadh"
شقة للبيع في المهدية، الرياض,"860,000",Apartment,4,4,130 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"4 Bedrooms Apartment For Sale in Al Maadiyah, Riyadh","850,000",Apartment,3,4,154 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Villa for sale in Bader, South Riyadh","1,200,000",Villa,4,4,375 Sq. M.,"Badr, South Riyadh, Riyadh"
Corner villa for sale in King Salman neighborhood,"7,000,000",Villa,4,5,525 Sq. M.,"King Salman, Riyadh"
Luxury duplex in the Tuwaiq neighborhood,"1,100,000",Villa,4,3,272 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Floor in East Riyadh，Al Janadriyah 3 bedrooms 950000 SAR - 87620912,"950,000",Floor,3,3,195 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Floor in West Riyadh，Alawali 3 bedrooms 850000 SAR - 87620906,"850,000",Floor,3,3,900 Sq. M.,"Alawali, West Riyadh, Riyadh"
"Building for sale in Al-Mahdiyah, Riyadh","4,050,000",Building,N/A,N/A,450 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Building for sale in Al-Muhadiyah neighborhood, Riyadh city","4,250,000",Building,N/A,N/A,899 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
Rooftop apartment - Riyadh - Badr district,"650,000",Apartment,5,5,149 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartment for sale in Al Qalaa, Al Ramal, Riyadh","1,050,000",Apartment,3,3,129 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Apartment For Sale in Badr, South riyadh","770,000",Apartment,4,4,630 Sq. M.,"Badr, South Riyadh, Riyadh"
"Villa for sale in Casablanca, Riyadh","680,000",Apartment,3,3,80 Sq. M.,"Al Dar Al Baida, South Riyadh, Riyadh"
"Apartment for sale in  Alawali, West Riyadh","620,000",Apartment,4,3,140 Sq. M.,"Alawali, West Riyadh, Riyadh"
"Floor for sale in  Tuwaiq, West Riyadh","830,000",Floor,9,4,246 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"Villa For Sale in Al Narjes, Riyadh","5,500,000",Villa,7,6,450 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Apartment in West Riyadh，Tuwaiq 3 bedrooms 470000 SAR - 87620513,"470,000",Apartment,3,3,114 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Apartment in West Riyadh，Al Hazm 3 bedrooms 530000 SAR - 87620510,"530,000",Apartment,3,3,135 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
Floor in South Riyadh，Al Aziziyah 5 bedrooms 780000 SAR - 87620509,"780,000",Floor,5,3,227 Sq. M.,"Al Aziziyah, South Riyadh, Riyadh"
"Apartment for Sale in Al Malqa, North Riyadh","1,650,000",Apartment,4,4,199 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
Apartment in West Riyadh，Al Mahdiyah 3 bedrooms 950000 SAR - 87620116,"950,000",Apartment,3,3,161 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
Apartment in West Riyadh，Al Mahdiyah 3 bedrooms 900000 SAR - 87620115,"900,000",Apartment,3,3,478 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
Apartment in West Riyadh，Al Mahdiyah 3 bedrooms 850000 SAR - 87620113,"850,000",Apartment,3,3,125 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
Apartment in West Riyadh，Al Mahdiyah 3 bedrooms 850000 SAR - 87620111,"850,000",Apartment,3,3,125 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"3 bedroom apartment for sale in Al Ramal, Riyadh","1,100,000",Floor,3,3,177 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"3 Bedroom Apartment For Sale in Al Yasmin, Riyadh","1,400,000",Apartment,3,3,96 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
Durr - Riyadh - Bader neighborhood,"649,000",Floor,6,3,176 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartment for sale in Al Yasmin, North Riyadh","1,250,000",Apartment,5,5,"6,299 Sq. M.","Al Yasmin, North Riyadh, Riyadh"
Apartment - Riyadh - Louban neighborhood,"850,000",Apartment,4,2,190 Sq. M.,"Laban, West Riyadh, Riyadh"
"Villa for Sale in Tuwaiq, West Riyadh","1,300,000",Villa,5,3,302 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"For Sale Villa in Al Rimal, East Riyadh","2,150,000",Villa,7,2,296 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Hotel Apartment for Sale in Al Rabi, North Riyadh","2,800,000",Apartment,4,5,143 Sq. M.,"Al Rabi, North Riyadh, Riyadh"
"Apartment for Sale in Al Rimal, East Riyadh","1,250,000",Apartment,5,3,147 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Floor for Sale in Al Shuhada, East Riyadh","1,700,000",Floor,3,2,95 Sq. M.,"Al Shuhada, East Riyadh, Riyadh"
"Floor for Sale in Al Rimal, East Riyadh","1,400,000",Floor,3,3,71 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Floor for Sale in Al Rimal, East Riyadh","2,800,000",Floor,3,3,360 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Villa in East Riyadh，Al Maizilah 5 bedrooms 2200000 SAR - 87619814,"2,200,000",Villa,5,5,275 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"Floor for sale in Qurtuba, east of Riyadh","1,650,000",Floor,4,5,195 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Villa for sale in Al Maizilah, east Riyadh","2,000,000",Villa,5,5,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"Villa for sale in Al Maizilah, east of Riyadh","2,000,000",Villa,6,5,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"Internal Staircase Villa With apartment for Sale in Al Yarmuk, East Riyadh","2,450,000",Villa,5,5,250 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"Ground floor for sale in Al Qadisiyah, east of Riyadh","1,150,000",Floor,6,4,223 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
Villa for sale in Al Olaya neighborhood,"2,700,000",Floor,4,2,149 Sq. M.,"Al Olaya, North Riyadh, Riyadh"
"Ground floor for sale in Al Janadriyah, East Riyadh","800,000",Floor,4,3,206 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Ground floor for sale in Al Munsiyah, East Riyadh","1,350,000",Floor,3,4,185 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"For Sale Internal Staircase Villa in Al Yarmuk, East Riyadh","3,800,000",Villa,5,6,450 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"Apartment for sale in King Faisal district, East Riyadh","999,000",Apartment,2,2,124 Sq. M.,"King Faisal, East Riyadh, Riyadh"
"An apartment for sale on Sulaim Bin Qais Street, Tuwaiq District, Riyadh City","650,000",Apartment,5,3,184 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"Floor for sale in Qurtubah, East Riyadh","1,650,000",Floor,5,4,195 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Apartment for sale in Al Hazm, west of Riyadh","735,000",Apartment,4,7,229 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
"Villas for sale in Al Janadriyah, East Riyadh","1,800,000",Villa,6,6,361 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Floor for sale in Al Qadisiyah, east of Riyadh","1,150,000",Floor,4,5,222 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Floor for sale in Badr, South Riyadh","760,000",Floor,3,3,214 Sq. M.,"Badr, South Riyadh, Riyadh"
"Villa for sale in Al Maizilah, East Riyadh","2,000,000",Villa,4,5,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"Internal Staircase Villa for Sale in Al Maizilah, East Riyadh","2,000,000",Villa,5,6,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"Ground floor for sale in Al Qadisiyah neighborhood, east of Riyadh","1,200,000",Floor,6,4,300 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Upper Floor for Sale in Al Qadisiyah, East Riyadh","900,000",Floor,4,4,199 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Ground Floor for Sale in Al Munsiyah, East Riyadh","1,300,000",Floor,3,3,167 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Ground Floor for sale in Al Munsiyah, East Riyadh","1,300,000",Floor,4,3,167 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Floor for sale in Al Nahda, East Riyadh","1,400,000",Floor,5,4,393 Sq. M.,"Al Nahdah, East Riyadh, Riyadh"
"Villa for sale on Abi Al Saud Bin Thahirah Street, Al Ramal neighborhood, Riyadh city, Riyadh region","1,500,000",Villa,5,5,274 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for Sale in Al Yasmin, North Riyadh","6,000,000",Villa,11,5,498 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"Apartment for sale on Al-Mina Street, Al-Dar Al-Bayda neighborhood, Riyadh city, Riyadh region.","550,000",Apartment,3,2,117 Sq. M.,"Al Dar Al Baida, South Riyadh, Riyadh"
"Villa for sale in Al Qadisiyah, East Riyadh","2,200,000",Villa,7,6,296 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Villa for sale in Al Qadisiyah, East Riyadh","2,200,000",Villa,5,5,296 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Villa for Sale in Al Rimal, East Riyadh","2,650,000",Villa,7,7,312 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for sale in Al Narjis, North Riyadh","3,500,000",Villa,5,9,300 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Floors for Sale in Al Narjis, North Riyadh","2,300,000",Floor,4,5,"1,200 Sq. M.","Al Narjis, North Riyadh, Riyadh"
"Villa Duplex for Sale in Al Munsiyah, East Riyadh","2,500,000",Villa,5,6,370 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Apartment for Sale in Al Qadisiyah, East Riyadh","779,000",Apartment,3,3,140 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Floors for sale in  Shubra, West Riyadh,","800,000",Floor,3,3,500 Sq. M.,"Shubra, West Riyadh, Riyadh"
"Isteraha for sale in Al Rimal, East Riyadh","6,000,000",Rest House,3,3,"1,200 Sq. M.","Al Rimal, East Riyadh, Riyadh"
"First Floor for Sale in Al Qadisiyah, East Riyadh","900,000",Floor,6,5,199 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Apartment for Sale in Okaz, South Riyadh","530,000",Apartment,3,5,163 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Apartment For Sale in Okaz, South Riyadh","540,000",Apartment,3,3,163 Sq. M.,"Okaz, South Riyadh, Riyadh"
Villa in East Riyadh，Al Khaleej 5 bedrooms 2400000 SAR - 87595102,"2,400,000",Villa,5,7,600 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"Villa for sale in  Al Nada, North Riyadh","5,500,000",Villa,5,5,375 Sq. M.,"Al Nada, North Riyadh, Riyadh"
"Floor For Sale in Al Zahrah, West Riyadh","860,000",Floor,3,3,500 Sq. M.,"Al Zahrah, West Riyadh, Riyadh"
"Floor for sale in  Shubra, West Riyadh","800,000",Floor,3,3,500 Sq. M.,"Shubra, West Riyadh, Riyadh"
"Floor For Sale in Okaz, East Riyadh","630,000",Floor,3,5,184 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Villa for Sale in Uhud, South Riyadh","880,000",Villa,4,3,260 Sq. M.,"Uhud, South Riyadh, Riyadh"
"Villa for sale in Al Qadisiyah, East Riyadh","2,230,000",Villa,4,5,336 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Apartments for Sale in Al Maizilah, East Riyadh","720,000",Apartment,3,3,144 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"6 Bedroom Villa For Sale in Al-Malqa, Riyadh","5,800,000",Villa,6,5,375 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
"7 Bedroom Villa For Sale in Al Olaya, Riyadh","1,650,000",Villa,7,5,365 Sq. M.,"Alawali, West Riyadh, Riyadh"
"Villa for sale in Rimal, East Riyadh","2,400,000",Villa,6,5,300 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Ground Floor for Sale in Al Qadisiyah, East Riyadh","1,050,000",Floor,3,3,168 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Upper Townhouse for Sale in Al Munsiyah, East Riyadh","1,550,000",Floor,4,5,206 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Apartment For Sale in Al Mahdiyah, West Riyadh","800,000",Apartment,3,2,120 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Villa for sale in Al Mahdiyah, west Riyadh","1,750,000",Villa,4,3,200 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Internal Staircase villa and Apartment for Sale in Al Bayan Neighborhood, East Riyadh","2,300,000",Villa,5,5,420 Sq. M.,"Al Bayan Neighborhood, East Riyadh, Riyadh"
Villa in East Riyadh，Al Bayan Neighborhood 5 bedrooms 2300000 SAR - 87613367,"2,300,000",Villa,5,5,420 Sq. M.,"Al Bayan Neighborhood, East Riyadh, Riyadh"
"Villa for sale in Okaz, south Riyadh","1,200,000",Villa,3,4,350 Sq. M.,"Okaz, South Riyadh, Riyadh"
"8 Bedroom Villa For Sale in Al Jannaderiya, Riyadh","2,300,000",Villa,8,5,375 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Apartment for Sale in Al Rimal, East Riyadh","710,000",Apartment,4,3,132 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
عمارة 18 غرفة للبيع في المصيف، الرياض,"4,300,000",Building,10,10,480 Sq. M.,"Al Masif, North Riyadh, Riyadh"
